,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume
W1,0.9160262416103796,0.6476665948887724,28.25649584785665,43.62815076591885,47.563115961845895,50.92150822589606,47.07440918375928,53.46026561849464,32917.4375,39.96453097451565,0.7294894067508199,6808.986627261723,0.20685044597598834,33024.0
W10,0.9431101070580751,0.6111737687977581,33.73074753005576,55.19011000162461,58.94276885250641,68.89303302947258,64.4980619863884,68.96557112066861,65882.75,52.050350552179125,0.7377762403585061,10692.369014369615,0.16229390871464253,65967.0
W11,0.8412307679293337,0.6853160219347022,38.420681695346715,56.06272211013256,57.107355042936454,122.8087944733601,122.03687967167957,124.46284586172695,62008.5,47.16168677291565,0.6446859252859958,11751.773692009356,0.18951875455799375,62107.5
W13,0.8102689434226935,0.607700280421246,33.420746174978156,54.99544306909245,57.3149195236284,64.22810911119835,54.56189146281496,69.82299048307799,48291.9375,44.561099548656436,0.6220623591516827,10309.397569752498,0.2134807196284576,48372.0
W18,0.9179341246126391,0.696183005946809,34.969669281597305,50.2305700985024,60.39246641759219,60.466933112239126,57.55866572463264,62.63385665915839,55897.875,46.1083543921626,0.6670484416899386,10598.806156266193,0.18961018028442392,55983.0
W2,0.7559428977154938,0.6275506165005815,33.706216216206606,53.71075309297441,55.536024344563955,52.5,70.9365914038728,82.73451516749222,49249.375,40.6022623315845,0.7246886069932562,8966.022816859606,0.1820535350318579,49326.0
W22,0.7269824996959234,0.6330333241602079,24.873171226897682,39.29204084144359,38.27531841800928,63.150613615387776,64.4980619863884,67.08949247087803,17913.8125,28.56462606906697,0.7166469183748349,4619.953129850209,0.2578989330077117,17967.0
W30,0.6972429805850403,0.536759653523894,20.563488795391443,38.31042191861772,31.89043743820395,45.60701700396552,42.05948168962618,56.595052787324086,13983.625,26.711672766007478,0.7296521165816233,3846.934488150477,0.2751028069009629,14047.5
W31,0.9708564911848613,0.8602367440854968,49.57045143584819,57.62419680008636,77.38862965578342,71.84010022264724,73.16419889536138,80.85326214816567,68195.8125,55.94482551267775,0.3877395056530818,20818.489266460398,0.3052751848430635,68278.5
W33,0.5002916160219733,0.4577996266789,29.770223933849906,65.02893886091064,45.69463863518345,65.0,67.36467917239716,67.54998149518622,27928.5,32.53343291091908,0.5189416762808434,8578.222660323467,0.3071494230024336,28015.0
W34,0.6394717489685565,0.5197811567027663,22.349210786231318,42.99734705275509,41.68033109273485,46.98137929009748,42.579337712087536,47.5,13624.5625,27.495588720833307,0.6696352092891218,4119.655377759639,0.30236973684546853,13698.0
W36,0.8169583271898605,0.7253143514189788,35.67934964841635,49.191567185475584,54.582506355058484,54.00231476520243,52.55473337388365,57.4913036902104,47973.1875,40.187460439693766,0.7517371296988795,8493.44424150417,0.17704565162579974,48040.5
W38,0.941059133153315,0.7689435352653192,38.57943144308758,50.17199530753059,63.63961030678928,57.604253315184984,69.40461079784254,69.6993543729065,63470.0625,47.21481441267693,0.7191409259043772,10699.974357285684,0.16858301277528573,63600.0
W42,0.6657684184016972,0.4630559768107442,28.126679405599177,60.74142396199941,53.0,68.78408246098802,67.08203932499369,70.12310603502956,43113.75,40.439721762647295,0.5991023029585875,9924.919696221286,0.23020311840703456,43209.0
W43,0.7821732633344753,0.6738494389001153,49.68169484934694,73.72818315385027,72.38957107208192,102.17631819555841,101.31633629380802,103.47584259139909,44623.375,57.66821361716896,0.2627480300952215,23155.434351764732,0.5189081810097227,45087.0
W48,0.7761992899214576,0.5672385086677143,31.136920821770886,54.892113892096056,53.45091205957107,65.56866629724902,57.0087712549569,69.45682111931124,48928.4375,42.60721982533273,0.7084389437602441,9131.790280401448,0.18663564068240374,49003.5
W5,0.8721730255187763,0.5369873469259422,15.244068076990033,28.388132726509838,34.88911004883902,31.04834939252005,29.017236257093817,35.185224171518364,5610.625,24.759363608908675,0.6031853188735239,2531.4781912753206,0.4511936176941643,5661.0
W55,0.38948611118710397,0.3155151695310718,47.856765952156174,151.67817770309537,123.10986962066184,139.16694979840258,128.08200498118384,155.20631106943094,68125.84750115871,59.07654358552512,0.2738458492267518,29456.823143205893,0.43238835513502977,68855.79747438431
W8,0.7155651239124099,0.4382026474689426,21.89754866420131,49.97128335641397,43.188540146663904,55.08175741568164,55.14526271584895,55.1656596081294,17487.0,35.757707566994505,0.6095583552948556,5344.975382056157,0.3056542221110629,17530.5
W9,0.3178323509066486,0.2788836101151701,40.21362179244495,144.1949986800515,55.10898293381942,59.34854673873658,133.843191832831,139.87941235221143,61325.9375,45.82983541946185,0.6257726671571323,12017.948316626045,0.19596844021546422,61513.5
